apv    channel    group
1    57    1
1    58    2
1    59    3
1    60    0
1    61    1
1    62    2
1    63    3
1    64    0
1    65    1
1    66    2
1    67    3
1    68    0
1    69    1
1    70    2
1    71    3
1    72    0
1    73    1
1    74    2
1    75    3
1    76    0
1    77    1
1    78    2
1    79    3
1    80    0
1    81    1
1    82    2
1    83    3
1    84    0
1    85    1
1    86    2
1    87    3
1    88    0
1    89    1
1    90    2
1    91    3
1    92    0
1    93    1
1    94    2
1    95    3
1    96    0
1    97    1
1    98    2
1    99    3
1    100    0
1    101    1
1    102    2
1    103    3
1    104    0
1    105    1
1    106    2
1    107    3
1    108    0
1    109    1
1    110    2
1    111    3
1    112    0
1    113    1
1    114    2
1    115    3
1    116    0
1    117    1
1    118    2
1    119    3
1    120    0
1    121    1
1    122    2
1    123    3
1    124    0
1    125    1
1    126    2
1    127    3
2    0    3
2    1    2
2    2    1
2    3    0
2    4    3
2    5    2
2    6    1
2    7    0
2    8    3
2    9    2
2    10    1
2    11    0
2    12    3
2    13    2
2    14    1
2    15    0
2    16    3
2    17    2
2    18    1
2    19    0
2    20    3
2    21    2
2    22    1
2    23    0
2    24    3
2    25    2
2    26    1
2    27    0
2    28    3
2    29    2
2    30    1
2    31    0
2    32    3
2    33    2
2    34    1
2    35    0
2    36    3
2    37    2
2    38    1
2    39    0
2    40    3
2    41    2
2    42    1
2    43    0
2    44    3
2    45    2
2    46    1
2    47    0
2    48    3
2    49    2
2    50    1
2    51    0
2    52    3
2    53    2
2    54    1
2    55    0
2    56    3
2    57    2
2    58    1
2    59    0
2    60    3
2    61    2
2    62    1
2    63    0
2    64    3
2    65    2
2    66    1
2    67    0
2    68    3
2    69    2
2    70    1
2    71    0
2    72    3
2    73    2
2    74    1
2    75    0
2    76    3
2    77    2
2    78    1
2    79    0
2    80    3
2    81    2
2    82    1
2    83    0
2    84    3
2    85    2
2    86    1
2    87    0
2    88    3
2    89    2
2    90    1
2    91    0
2    92    3
2    93    2
2    94    1
2    95    0
2    96    3
2    97    2
2    98    1
2    99    0
2    100    3
2    101    2
2    102    1
2    103    0
2    104    3
2    105    2
2    106    1
2    107    0
2    108    3
2    109    2
2    110    1
2    111    0
2    112    3
2    113    2
2    114    1
2    115    0
2    116    3
2    117    2
2    118    1
2    119    0
2    120    3
2    121    2
2    122    1
2    123    0
2    124    3
2    125    2
2    126    1
2    127    0
3    0    3
3    1    2
3    2    1
3    3    0
3    4    3
3    5    2
3    6    1
3    7    0
3    8    3
3    9    2
3    10    1
3    11    0
3    12    3
3    13    2
3    14    1
3    15    0
3    16    3
3    17    2
3    18    1
3    19    0
3    20    3
3    21    2
3    22    1
3    23    0
3    24    3
3    25    2
3    26    1
3    27    0
3    28    3
3    29    2
3    30    1
3    31    0
3    32    3
3    33    2
3    34    1
3    35    0
3    36    3
3    37    2
3    38    1
3    39    0
3    40    3
3    41    2
3    42    1
3    43    0
3    44    3
3    45    2
3    46    1
3    47    0
3    48    3
3    49    2
3    50    1
3    51    0
3    52    3
3    53    2
3    54    1
3    55    0
3    56    3
3    57    2
3    58    1
3    59    0
3    60    3
3    61    2
3    62    1
3    63    0
3    64    3
3    65    2
3    66    1
3    67    0
3    68    3
3    69    2
3    70    1
3    71    0
3    72    3
3    73    2
3    74    1
3    75    0
3    76    3
3    77    2
3    78    1
3    79    0
3    80    3
3    81    2
3    82    1
3    83    0
3    84    3
3    85    2
3    86    1
3    87    0
3    88    3
3    89    2
3    90    1
3    91    0
3    92    3
3    93    2
3    94    1
3    95    0
3    96    3
3    97    2
3    98    1
3    99    0
3    100    3
3    101    2
3    102    1
3    103    0
3    104    3
3    105    2
3    106    1
3    107    0
3    108    3
3    109    2
3    110    1
3    111    0
3    112    3
3    113    2
3    114    1
3    115    0
3    116    3
3    117    2
3    118    1
3    119    0
3    120    3
3    121    2
3    122    1
3    123    0
3    124    3
3    125    2
3    126    1
3    127    0
4    0    0
4    1    1
4    2    2
4    3    3
4    4    0
4    5    1
4    6    2
4    7    3
4    8    0
4    9    1
4    10    2
4    11    3
4    12    0
4    13    1
4    14    2
4    15    3
4    16    0
4    17    1
4    18    2
4    19    3
4    20    0
4    21    1
4    22    2
4    23    3
4    24    0
4    25    1
4    26    2
4    27    3
4    28    0
4    29    1
4    30    2
4    31    3
4    32    0
4    33    1
4    34    2
4    35    3
4    36    0
4    37    1
4    38    2
4    39    3
4    40    0
4    41    1
4    42    2
4    43    3
4    44    0
4    45    1
4    46    2
4    47    3
4    48    0
4    49    1
4    50    2
4    51    3
4    52    0
4    53    1
4    54    2
4    55    3
4    56    0
4    57    1
4    58    2
4    59    3
4    60    0
4    61    1
4    62    2
4    63    3
4    64    0
4    65    1
4    66    2
4    67    3
4    68    0
4    69    1
4    70    2
4    71    3
4    72    0
4    73    1
4    74    2
4    75    3
4    76    0
4    77    1
4    78    2
4    79    3
4    80    0
4    81    1
4    82    2
4    83    3
4    84    0
4    85    1
4    86    2
4    87    3
4    88    0
4    89    1
4    90    2
4    91    3
4    92    0
4    93    1
4    94    2
4    95    3
4    96    0
4    97    1
4    98    2
4    99    3
4    100    0
4    101    1
4    102    2
4    103    3
4    104    0
4    105    1
4    106    2
4    107    3
4    108    0
4    109    1
4    110    2
4    111    3
4    112    0
4    113    1
4    114    2
4    115    3
4    116    0
4    117    1
4    118    2
4    119    3
4    120    0
4    121    1
4    122    2
4    123    3
4    124    0
4    125    1
4    126    2
4    127    3
5    0    3
5    1    2
5    2    1
5    3    0
5    4    3
5    5    2
5    6    1
5    7    0
5    8    3
5    9    2
5    10    1
5    11    0
5    12    3
5    13    2
5    14    1
5    15    0
5    16    3
5    17    2
5    18    1
5    19    0
5    20    3
5    21    2
5    22    1
5    23    0
5    24    3
5    25    2
5    26    1
5    27    0
5    28    3
5    29    2
5    30    1
5    31    0
5    32    3
5    33    2
5    34    1
5    35    0
5    36    3
5    37    2
5    38    1
5    39    0
5    40    3
5    41    2
5    42    1
5    43    0
5    44    3
5    45    2
5    46    1
5    47    0
5    48    3
5    49    2
5    50    1
5    51    0
5    52    3
5    53    2
5    54    1
5    55    0
5    56    3
5    57    2
5    58    1
5    59    0
5    60    3
5    61    2
5    62    1
5    63    0
5    64    3
5    65    2
5    66    1
5    67    0
5    68    3
5    69    2
5    70    1
5    71    0
5    72    3
5    73    2
5    74    1
5    75    0
5    76    3
5    77    2
5    78    1
5    79    0
5    80    3
5    81    2
5    82    1
5    83    0
5    84    3
5    85    2
5    86    1
5    87    0
5    88    3
5    89    2
5    90    1
5    91    0
5    92    3
5    93    2
5    94    1
5    95    0
5    96    3
5    97    2
5    98    1
5    99    0
5    100    3
5    101    2
5    102    1
5    103    0
5    104    3
5    105    2
5    106    1
5    107    0
5    108    3
5    109    2
5    110    1
5    111    0
5    112    3
5    113    2
5    114    1
5    115    0
5    116    3
5    117    2
5    118    1
5    119    0
5    120    3
5    121    2
5    122    1
5    123    0
5    124    3
5    125    2
5    126    1
5    127    0
6    0    0
6    1    1
6    2    2
6    3    3
6    4    0
6    5    1
6    6    2
6    7    3
6    8    0
6    9    1
6    10    2
6    11    3
6    12    0
6    13    1
6    14    2
6    15    3
6    16    0
6    17    1
6    18    2
6    19    3
6    20    0
6    21    1
6    22    2
6    23    3
6    24    0
6    25    1
6    26    2
6    27    3
6    28    0
6    29    1
6    30    2
6    31    3
6    32    0
6    33    1
6    34    2
6    35    3
6    36    0
6    37    1
6    38    2
6    39    3
6    40    0
6    41    1
6    42    2
6    43    3
6    44    0
6    45    1
6    46    2
6    47    3
6    48    0
6    49    1
6    50    2
6    51    3
6    52    0
6    53    1
6    54    2
6    55    3
6    56    0
6    57    1
6    58    2
6    59    3
6    60    0
6    61    1
6    62    2
6    63    3
6    64    0
6    65    1
6    66    2
6    67    3
6    68    0
6    69    1
6    70    2
6    71    3
6    72    0
6    73    1
6    74    2
6    75    3
6    76    0
6    77    1
6    78    2
6    79    3
6    80    0
6    81    1
6    82    2
6    83    3
6    84    0
6    85    1
6    86    2
6    87    3
6    88    0
6    89    1
6    90    2
6    91    3
6    92    0
6    93    1
6    94    2
6    95    3
6    96    0
6    97    1
6    98    2
6    99    3
6    100    0
6    101    1
6    102    2
6    103    3
6    104    0
6    105    1
6    106    2
6    107    3
6    108    0
6    109    1
6    110    2
6    111    3
6    112    0
6    113    1
6    114    2
6    115    3
6    116    0
6    117    1
6    118    2
6    119    3
6    120    0
6    121    1
6    122    2
6    123    3
6    124    0
6    125    1
6    126    2
6    127    3
7    0    3
7    1    2
7    2    1
7    3    0
7    4    3
7    5    2
7    6    1
7    7    0
7    8    3
7    9    2
7    10    1
7    11    0
7    12    3
7    13    2
7    14    1
7    15    0
7    16    3
7    17    2
7    18    1
7    19    0
7    20    3
7    21    2
7    22    1
7    23    0
7    24    3
7    25    2
7    26    1
7    27    0
7    28    3
7    29    2
7    30    1
7    31    0
7    32    3
7    33    2
7    34    1
7    35    0
7    36    3
7    37    2
7    38    1
7    39    0
7    40    3
7    41    2
7    42    1
7    43    0
7    44    3
7    45    2
7    46    1
7    47    0
7    48    3
7    49    2
7    50    1
7    51    0
7    52    3
7    53    2
7    54    1
7    55    0
7    56    3
7    57    2
7    58    1
7    59    0
7    60    3
7    61    2
7    62    1
7    63    0
7    64    3
7    65    2
7    66    1
7    67    0
7    68    3
7    69    2
7    70    1
7    71    0
7    72    3
7    73    2
7    74    1
7    75    0
7    76    3
7    77    2
7    78    1
7    79    0
7    80    3
7    81    2
7    82    1
7    83    0
7    84    3
7    85    2
7    86    1
7    87    0
7    88    3
7    89    2
7    90    1
7    91    0
7    92    3
7    93    2
7    94    1
7    95    0
7    96    3
7    97    2
7    98    1
7    99    0
7    100    3
7    101    2
7    102    1
7    103    0
7    104    3
7    105    2
7    106    1
7    107    0
7    108    3
7    109    2
7    110    1
7    111    0
7    112    3
7    113    2
7    114    1
7    115    0
7    116    3
7    117    2
7    118    1
7    119    0
7    120    3
7    121    2
7    122    1
7    123    0
7    124    3
7    125    2
7    126    1
7    127    0
8    0    -1
8    1    -1
8    2    -1
8    3    -1
8    4    -1
8    5    -1
8    6    -1
8    7    -1
8    8    -1
8    9    -1
8    10    -1
8    11    -1
8    12    -1
8    13    -1
8    14    -1
8    15    -1
8    16    -1
8    17    -1
8    18    -1
8    19    -1
8    20    -1
8    21    -1
8    22    -1
8    23    -1
8    24    -1
8    25    -1
8    26    -1
8    27    -1
8    28    -1
8    29    -1
8    30    -1
8    31    -1
8    32    -1
8    33    -1
8    34    -1
8    35    -1
8    36    -1
8    37    -1
8    38    -1
8    39    -1
8    40    -1
8    41    -1
8    42    -1
8    43    -1
8    44    -1
8    45    -1
8    46    -1
8    47    -1
8    48    -1
8    49    -1
8    50    -1
8    51    -1
8    52    -1
8    53    -1
8    54    -1
8    55    -1
8    56    -1
8    57    -1
8    58    -1
8    59    -1
8    60    -1
8    61    -1
8    62    -1
8    63    -1
8    64    -1
8    65    -1
8    66    -1
8    67    -1
8    68    -1
8    69    -1
8    70    -1
8    71    -1
8    72    -1
8    73    -1
8    74    -1
8    75    -1
8    76    -1
8    77    -1
8    78    -1
8    79    -1
8    80    -1
8    81    -1
8    82    -1
8    83    -1
8    84    -1
8    85    -1
8    86    -1
8    87    -1
8    88    -1
8    89    -1
8    90    -1
8    91    -1
8    92    -1
8    93    -1
8    94    -1
8    95    -1
8    96    -1
8    97    -1
8    98    -1
8    99    -1
8    100    -1
8    101    -1
8    102    -1
8    103    -1
8    104    -1
8    105    -1
8    106    -1
8    107    -1
8    108    -1
8    109    -1
8    110    -1
8    111    -1
8    112    -1
8    113    -1
8    114    -1
8    115    -1
8    116    -1
8    117    -1
8    118    -1
8    119    -1
8    120    -1
8    121    -1
8    122    -1
8    123    -1
8    124    -1
8    125    -1
8    126    -1
8    127    -1
9    0    -1
9    1    -1
9    2    -1
9    3    -1
9    4    -1
9    5    -1
9    6    -1
9    7    -1
9    8    -1
9    9    -1
9    10    -1
9    11    -1
9    12    -1
9    13    -1
9    14    -1
9    15    -1
9    16    -1
9    17    -1
9    18    -1
9    19    -1
9    20    -1
9    21    -1
9    22    -1
9    23    -1
9    24    -1
9    25    -1
9    26    -1
9    27    -1
9    28    -1
9    29    -1
9    30    -1
9    31    -1
9    32    -1
9    33    -1
9    34    -1
9    35    -1
9    36    -1
9    37    -1
9    38    -1
9    39    -1
9    40    -1
9    41    -1
9    42    -1
9    43    -1
9    44    -1
9    45    -1
9    46    -1
9    47    -1
9    48    -1
9    49    -1
9    50    -1
9    51    -1
9    52    -1
9    53    -1
9    54    -1
9    55    -1
9    56    -1
9    57    -1
9    58    -1
9    59    -1
9    60    -1
9    61    -1
9    62    -1
9    63    -1
9    64    -1
9    65    -1
9    66    -1
9    67    -1
9    68    -1
9    69    -1
9    70    -1
9    71    -1
9    72    -1
9    73    -1
9    74    -1
9    75    -1
9    76    -1
9    77    -1
9    78    -1
9    79    -1
9    80    -1
9    81    -1
9    82    -1
9    83    -1
9    84    -1
9    85    -1
9    86    -1
9    87    -1
9    88    -1
9    89    -1
9    90    -1
9    91    -1
9    92    -1
9    93    -1
9    94    -1
9    95    -1
9    96    -1
9    97    -1
9    98    -1
9    99    -1
9    100    -1
9    101    -1
9    102    -1
9    103    -1
9    104    -1
9    105    -1
9    106    -1
9    107    -1
9    108    -1
9    109    -1
9    110    -1
9    111    -1
9    112    -1
9    113    -1
9    114    -1
9    115    -1
9    116    -1
9    117    -1
9    118    -1
9    119    -1
9    120    -1
9    121    -1
9    122    -1
9    123    -1
9    124    -1
9    125    -1
9    126    -1
9    127    -1
10    0    -1
10    1    -1
10    2    -1
10    3    -1
10    4    -1
10    5    -1
10    6    -1
10    7    -1
10    8    -1
10    9    -1
10    10    -1
10    11    -1
10    12    -1
10    13    -1
10    14    -1
10    15    -1
10    16    -1
10    17    -1
10    18    -1
10    19    -1
10    20    -1
10    21    -1
10    22    -1
10    23    -1
10    24    -1
10    25    -1
10    26    -1
10    27    -1
10    28    -1
10    29    -1
10    30    -1
10    31    -1
10    32    -1
10    33    -1
10    34    -1
10    35    -1
10    36    -1
10    37    -1
10    38    -1
10    39    -1
10    40    -1
10    41    -1
10    42    -1
10    43    -1
10    44    -1
10    45    -1
10    46    -1
10    47    -1
10    48    -1
10    49    -1
10    50    -1
10    51    -1
10    52    -1
10    53    -1
10    54    -1
10    55    -1
10    56    -1
10    57    -1
10    58    -1
10    59    -1
10    60    -1
10    61    -1
10    62    -1
10    63    -1
10    64    -1
10    65    -1
10    66    -1
10    67    -1
10    68    -1
10    69    -1
10    70    -1
10    71    -1
10    72    -1
10    73    -1
10    74    -1
10    75    -1
10    76    -1
10    77    -1
10    78    -1
10    79    -1
10    80    -1
10    81    -1
10    82    -1
10    83    -1
10    84    -1
10    85    -1
10    86    -1
10    87    -1
10    88    -1
10    89    -1
10    90    -1
10    91    -1
10    92    -1
10    93    -1
10    94    -1
10    95    -1
10    96    -1
10    97    -1
10    98    -1
10    99    -1
10    100    -1
10    101    -1
10    102    -1
10    103    -1
10    104    -1
10    105    -1
10    106    -1
10    107    -1
10    108    -1
10    109    -1
10    110    -1
10    111    -1
10    112    -1
10    113    -1
10    114    -1
10    115    -1
10    116    -1
10    117    -1
10    118    -1
10    119    -1
10    120    -1
10    121    -1
10    122    -1
10    123    -1
10    124    -1
10    125    -1
10    126    -1
10    127    -1
11    0    -1
11    1    -1
11    2    -1
11    3    -1
11    4    -1
11    5    -1
11    6    -1
11    7    -1
11    8    -1
11    9    -1
11    10    -1
11    11    -1
11    12    -1
11    13    -1
11    14    -1
11    15    -1
11    16    -1
11    17    -1
11    18    -1
11    19    -1
11    20    -1
11    21    -1
11    22    -1
11    23    -1
11    24    -1
11    25    -1
11    26    -1
11    27    -1
11    28    -1
11    29    -1
11    30    -1
11    31    -1
11    32    -1
11    33    -1
11    34    -1
11    35    -1
11    36    -1
11    37    -1
11    38    -1
11    39    -1
11    40    -1
11    41    -1
11    42    -1
11    43    -1
11    44    -1
11    45    -1
11    46    -1
11    47    -1
11    48    -1
11    49    -1
11    50    -1
11    51    -1
11    52    -1
11    53    -1
11    54    -1
11    55    -1
11    56    -1
11    57    -1
11    58    -1
11    59    -1
11    60    -1
11    61    -1
11    62    -1
11    63    -1
11    64    -1
11    65    -1
11    66    -1
11    67    -1
11    68    -1
11    69    -1
11    70    -1
11    71    -1
11    72    -1
11    73    -1
11    74    -1
11    75    -1
11    76    -1
11    77    -1
11    78    -1
11    79    -1
11    80    -1
11    81    -1
11    82    -1
11    83    -1
11    84    -1
11    85    -1
11    86    -1
11    87    -1
11    88    -1
11    89    -1
11    90    -1
11    91    -1
11    92    -1
11    93    -1
11    94    -1
11    95    -1
11    96    -1
11    97    -1
11    98    -1
11    99    -1
11    100    -1
11    101    -1
11    102    -1
11    103    -1
11    104    -1
11    105    -1
11    106    -1
11    107    -1
11    108    -1
11    109    -1
11    110    -1
11    111    -1
11    112    -1
11    113    -1
11    114    -1
11    115    -1
11    116    -1
11    117    -1
11    118    -1
11    119    -1
11    120    -1
11    121    -1
11    122    -1
11    123    -1
11    124    -1
11    125    -1
11    126    -1
11    127    -1
12    0    0
12    1    1
12    2    2
12    3    3
12    4    0
12    5    1
12    6    2
12    7    3
12    8    0
12    9    1
12    10    2
12    11    3
12    12    0
12    13    1
12    14    2
12    15    3
12    16    0
12    17    1
12    18    2
12    19    3
12    20    0
12    21    1
12    22    2
12    23    3
12    24    0
12    25    1
12    26    2
12    27    3
12    28    0
12    29    1
12    30    2
12    31    3
12    32    0
12    33    1
12    34    2
12    35    3
12    36    0
12    37    1
12    38    2
12    39    3
12    40    0
12    41    1
12    42    2
12    43    3
12    44    0
12    45    1
12    46    2
12    47    3
12    48    0
12    49    1
12    50    2
12    51    3
12    52    0
12    53    1
12    54    2
12    55    3
12    56    0
12    57    1
12    58    2
12    59    3
12    60    0
12    61    1
12    62    2
12    63    3
12    64    0
12    65    1
12    66    2
12    67    3
12    68    0
12    69    1
12    70    2
12    71    3
12    72    0
12    73    1
12    74    2
12    75    3
12    76    0
12    77    1
12    78    2
12    79    3
12    80    0
12    81    1
12    82    2
12    83    3
12    84    0
12    85    1
12    86    2
12    87    3
12    88    0
12    89    1
12    90    2
12    91    3
12    92    0
12    93    1
12    94    2
12    95    3
12    96    0
12    97    1
12    98    2
12    99    3
12    100    0
12    101    1
12    102    2
12    103    3
12    104    0
12    105    1
12    106    2
12    107    3
12    108    0
12    109    1
12    110    2
12    111    3
12    112    0
12    113    1
12    114    2
12    115    3
12    116    0
12    117    1
12    118    2
12    119    3
12    120    0
12    121    1
12    122    2
12    123    3
12    124    0
12    125    1
12    126    2
12    127    3
13    0    0
13    1    1
13    2    2
13    3    3
13    4    0
13    5    1
13    6    2
13    7    3
13    8    0
13    9    1
13    10    2
13    11    3
13    12    0
13    13    1
13    14    2
13    15    3
13    16    0
13    17    1
13    18    2
13    19    3
13    20    0
13    21    1
13    22    2
13    23    3
13    24    0
13    25    1
13    26    2
13    27    3
13    28    0
13    29    1
13    30    2
13    31    3
13    32    0
13    33    1
13    34    2
13    35    3
13    36    0
13    37    1
13    38    2
13    39    3
13    40    0
13    41    1
13    42    2
13    43    3
13    44    0
13    45    1
13    46    2
13    47    3
13    48    0
13    49    1
13    50    2
13    51    3
13    52    0
13    53    1
13    54    2
13    55    3
13    56    0
13    57    1
13    58    2
13    59    3
13    60    0
13    61    1
13    62    2
13    63    3
13    64    0
13    65    1
13    66    2
13    67    3
13    68    0
13    69    1
13    70    2
13    71    3
13    72    0
13    73    1
13    74    2
13    75    3
13    76    0
13    77    1
13    78    2
13    79    3
13    80    0
13    81    1
13    82    2
13    83    3
13    84    0
13    85    1
13    86    2
13    87    3
13    88    0
13    89    1
13    90    2
13    91    3
13    92    0
13    93    1
13    94    2
13    95    3
13    96    0
13    97    1
13    98    2
13    99    3
13    100    0
13    101    1
13    102    2
13    103    3
13    104    0
13    105    1
13    106    2
13    107    3
13    108    0
13    109    1
13    110    2
13    111    3
13    112    0
13    113    1
13    114    2
13    115    3
13    116    0
13    117    1
13    118    2
13    119    3
13    120    0
13    121    1
13    122    2
13    123    3
13    124    0
13    125    1
13    126    2
13    127    3
14    0    3
14    1    2
14    2    1
14    3    0
14    4    3
14    5    2
14    6    1
14    7    0
14    8    3
14    9    2
14    10    1
14    11    0
14    12    3
14    13    2
14    14    1
14    15    0
14    16    3
14    17    2
14    18    1
14    19    0
14    20    3
14    21    2
14    22    1
14    23    0
14    24    3
14    25    2
14    26    1
14    27    0
14    28    3
14    29    2
14    30    1
14    31    0
14    32    3
14    33    2
14    34    1
14    35    0
14    36    3
14    37    2
14    38    1
14    39    0
14    40    3
14    41    2
14    42    1
14    43    0
14    44    3
14    45    2
14    46    1
14    47    0
14    48    3
14    49    2
14    50    1
14    51    0
14    52    3
14    53    2
14    54    1
14    55    0
14    56    3
14    57    2
14    58    1
14    59    0
14    60    3
14    61    2
14    62    1
14    63    0
14    64    3
14    65    2
14    66    1
14    67    0
14    68    3
14    69    2
14    70    1
14    71    0
14    72    3
14    73    2
14    74    1
14    75    0
14    76    3
14    77    2
14    78    1
14    79    0
14    80    3
14    81    2
14    82    1
14    83    0
14    84    3
14    85    2
14    86    1
14    87    0
14    88    3
14    89    2
14    90    1
14    91    0
14    92    3
14    93    2
14    94    1
14    95    0
14    96    3
14    97    2
14    98    1
14    99    0
14    100    3
14    101    2
14    102    1
14    103    0
14    104    3
14    105    2
14    106    1
14    107    0
14    108    3
14    109    2
14    110    1
14    111    0
14    112    3
14    113    2
14    114    1
14    115    0
14    116    3
14    117    2
14    118    1
14    119    0
14    120    3
14    121    2
14    122    1
14    123    0
14    124    3
14    125    2
14    126    1
14    127    0
15    0    3
15    1    2
15    2    1
15    3    0
15    4    3
15    5    2
15    6    1
15    7    0
15    8    3
15    9    2
15    10    1
15    11    0
15    12    3
15    13    2
15    14    1
15    15    0
15    16    3
15    17    2
15    18    1
15    19    0
15    20    3
15    21    2
15    22    1
15    23    0
15    24    3
15    25    2
15    26    1
15    27    0
15    28    3
15    29    2
15    30    1
15    31    0
15    32    3
15    33    2
15    34    1
15    35    0
15    36    3
15    37    2
15    38    1
15    39    0
15    40    3
15    41    2
15    42    1
15    43    0
15    44    3
15    45    2
15    46    1
15    47    0
15    48    3
15    49    2
15    50    1
15    51    0
15    52    3
15    53    2
15    54    1
15    55    0
15    56    3
15    57    2
15    58    1
15    59    0
15    60    3
15    61    2
15    62    1
15    63    0
15    64    3
15    65    2
15    66    1
15    67    0
15    68    3
15    69    2
15    70    1
15    71    0
15    72    3
15    73    2
15    74    1
15    75    0
15    76    3
15    77    2
15    78    1
15    79    0
15    80    3
15    81    2
15    82    1
15    83    0
15    84    3
15    85    2
15    86    1
15    87    0
15    88    3
15    89    2
15    90    1
15    91    0
15    92    3
15    93    2
15    94    1
15    95    0
15    96    3
15    97    2
15    98    1
15    99    0
15    100    3
15    101    2
15    102    1
15    103    0
15    104    3
15    105    2
15    106    1
15    107    0
15    108    3
15    109    2
15    110    1
15    111    0
15    112    3
15    113    2
15    114    1
15    115    0
15    116    3
15    117    2
15    118    1
15    119    0
15    120    3
15    121    2
15    122    1
15    123    0
15    124    3
15    125    2
15    126    1
15    127    0
16    0    0
16    1    1
16    2    2
16    3    3
16    4    0
16    5    1
16    6    2
16    7    3
16    8    0
16    9    1
16    10    2
16    11    3
16    12    0
16    13    1
16    14    2
16    15    3
16    16    0
16    17    1
16    18    2
16    19    3
16    20    0
16    21    1
16    22    2
16    23    3
16    24    0
16    25    1
16    26    2
16    27    3
16    28    0
16    29    1
16    30    2
16    31    3
16    32    0
16    33    1
16    34    2
16    35    3
16    36    0
16    37    1
16    38    2
16    39    3
16    40    0
16    41    1
16    42    2
16    43    3
16    44    0
16    45    1
16    46    2
16    47    3
16    48    0
16    49    1
16    50    2
16    51    3
16    52    0
16    53    1
16    54    2
16    55    3
16    56    0
16    57    1
16    58    2
16    59    3
16    60    0
16    61    1
16    62    2
16    63    3
16    64    0
16    65    1
16    66    2
16    67    3
16    68    0
16    69    1
16    70    2
16    71    3
16    72    0
16    73    1
16    74    2
16    75    3
16    76    0
16    77    1
16    78    2
16    79    3
16    80    0
16    81    1
16    82    2
16    83    3
16    84    0
16    85    1
16    86    2
16    87    3
16    88    0
16    89    1
16    90    2
16    91    3
16    92    0
16    93    1
16    94    2
16    95    3
16    96    0
16    97    1
16    98    2
16    99    3
16    100    0
16    101    1
16    102    2
16    103    3
16    104    0
16    105    1
16    106    2
16    107    3
16    108    0
16    109    1
16    110    2
16    111    3
16    112    0
16    113    1
16    114    2
16    115    3
16    116    0
16    117    1
16    118    2
16    119    3
16    120    0
16    121    1
16    122    2
16    123    3
16    124    0
16    125    1
16    126    2
16    127    3
17    0    3
17    1    2
17    2    1
17    3    0
17    4    3
17    5    2
17    6    1
17    7    0
17    8    3
17    9    2
17    10    1
17    11    0
17    12    3
17    13    2
17    14    1
17    15    0
17    16    3
17    17    2
17    18    1
17    19    0
17    20    3
17    21    2
17    22    1
17    23    0
17    24    3
17    25    2
17    26    1
17    27    0
17    28    3
17    29    2
17    30    1
17    31    0
17    32    3
17    33    2
17    34    1
17    35    0
17    36    3
17    37    2
17    38    1
17    39    0
17    40    3
17    41    2
17    42    1
17    43    0
17    44    3
17    45    2
17    46    1
17    47    0
17    48    3
17    49    2
17    50    1
17    51    0
17    52    3
17    53    2
17    54    1
17    55    0
17    56    3
17    57    2
17    58    1
17    59    0
17    60    3
17    61    2
17    62    1
17    63    0
17    64    3
17    65    2
17    66    1
17    67    0
17    68    3
